Title,Categories,Description
"Mort (Discworld, #4)",Fantasy,"Death comes to us all. When he came to Mort, he offered him a job.

After being assured that being dead was not compulsory, Mort accepted. However, he soon found that romantic longings did not mix easily with the responsibilities of being Death's apprentice..."
The Voyages of Sindbad,Fiction,"Seven voyages. Seven missions. Only one man has survived them. A poor man meets a great sailor and asks to hear his tale. He is amazed to be told of seven journeys to foreign lands, every one ending in shipwreck. As he listens, the traveller describes a flight on a giant bird, battles with foes including giant serpents, brutal cannibals and the murderous Old Man of the Sea, and the discovery of diamonds. Sindbad the Sailor has grown rich from his travels � but his path to fortune has been anything but easy�"
Botany of the living plant,,
Communication Among Social Bees (Harvard Books in Biology),"Bees -- Behavior,Animal communication",
"Journeys to the Past: Travels in New Guinea, Madagascar, and the Northern Territory of Australia",Natural History,"No one writes more consistently entertaining travel books than David Attenborough, and this new collection will be widely welcomed and richly enjoyed.

In Journeys to the Past David Attenborough tells of four expeditions in search not only of animals but of unusual people and remote tribes who retain their ancient rituals and ways of life.

In New Guinea he attended a sing-sing performed by over five hundred dancers gloriously adorned with the multicoloured plumes of birds of paradise, and trekked for days into the Jimi Valley, then little explored. He watched a tribe making stone axes and met a pygmy people who wore extraordinary bulbous hats made from their hair clippings and woven to their scalps. On the island of Pentecost he marvelled at the courage of the sensational land-divers who jumped head first from a tower over eighty feet high with vines tied round their ankles. On Tanna he observed a cargo cult and talked to its leader, and on Tonga he filmed the Royal Kava ceremony, the most important and sacred of all the surviving ancient rituals.

David Attenborough describes Madagascar as ""one of Nature's lumber rooms, a place where antique outmoded forms of life that have long since disappeared from the rest of the world still survive in isolation"". Here he observed many species of lemur, including the enchanting snow-white sifakas and the 'dog-headed man', the indris, about whom there are many legends; he collected fragments of the largest eggs in the world laid by th..."
Life In Cold Blood,Natural History,"Frogs and toads, turtles and tortoises, crocodiles and alligators, lizards and snakes. They arose from the first backboned animals on earth three hundred million years ago - long ages before birds or mammals, even before any flowering plants. Dinosaurs apart, they are the great survivors.

David Attenborough delights in them all, as in all other forms of life - their beauty and their perfect adaptation to the earth. A teacher of consummate skill, grace and intelligence, he reveals the natural world in unforgettable books and films for BBC television.

Of all groups, surely the reptiles - so different from ourselves - deserve our better understanding. Sir David offers that, and great enjoyment along the way. Few people will read him unmoved or unenlightened."
The Toyminator,"Contemporary Fiction,Science Fiction,Fantasy","Somewhere over the rainbow and beyond the Yellow Brick Road stands Toy City, formerly known as Toy Town. And things are not going well for the city’s inhabitants. There have been outbreaks of STC—Spontaneous Toy Combustion—and strange signs and portents in the Heavens. Preachers of Toy City’s many religions are predicting that the End Times are nigh and that a Toy City Apocalypse will soon come to pass. But can it be true? Or is there a simple explanation—alien invasion, for instance? With the body count rising and the forces of law and order baffled, it’s time for a hero to step forward and save the day. Well, two heroes actually. Eddie Bear, Toy City Private Eye, and his loyal sidekick, Jack. And they are about to face their biggest challenge yet—to save not only toykind, but mankind as well."
The Heart of the Antarctic,History,"This is the story of Sir Ernest Shackleton's first polar expedition, part of his never-ending quest to reach the South Pole. In 1906 he came within 97 miles of his goal, but bad weather and the necessity of reaching his ship before it had to flee the advancing ice pack forced him to turn back."
Welsh Fargo,Literature & Fiction,
Amerigo: The Man Who Gave His Name to America,America,"This is the story of how one side of the world came to be named not after its discoverer Christopher Columbus, but after his friend and rival Amerigo Vespucci. Born in Florence in 1454 Vespucci had spent his youth as a dealer or agent for the great Medici family. Then in 1491 he followed his fellow-Italian Columbus to Seville. In Seville continued as Florentine agent but also helped Columbus get his ships ready for his second and third voyages. Although Amerigo himself later sailed on at least two voyages of his own and explored the coast of present-day Brazil, he excelled above all at self-invention and self-promotion. He saw himself as a explorer and navigator of genius, and his colourful travel writings sold much better than those of Columbus. He became Pilot Major of Spain in 1508 and died in 1512.Fernanzez-Armesto knows this period exceptionaly well and he brings wonderfully to life the world of navigators, shipwrights, explorers, cartographers, agents, financiers and fixers."
The Trials of Life: A Natural History of Animal Behaviour,Natural History,"""Watching and filming animals world-wide has occupied most of my working life. By the end of the 1970's, the marvels and wonders I had witnessed had become a dazzling, almost confusing kaleidoscope and I began to feel a need to put them in some kind of order, to try to produce a coherent survey of the natural history of the planet. So I started on a decade of work which was to result in three books and three 13-part television series: Life on Earth, The Living Planet and The Trials of Life. Between them, they looked at the three major aspects of natural history that can be studied simply by observing living wild animals - their diversity, their ecology and their behaviour.
The Trials of Life surveys the last and most dramatic of these. Every animal, whether rat or rattlesnake, lobster or llama or a human being, must during the course of its life face a series of problems - growing up and collecting food, finding its way around and defending itself against enemies, getting along with its fellows and finding a mate. But though the problems may be the same, the solutions are astoundingly varied. Ants in the Sahara find their way across the featureless sand by taking repeated observations on the sun, fireflies attract their mates by flashing signals like Morse code, and teams of chimpanzees hunt down monkeys in west African forests, collaborating in the most complex way yet observed in the animal world."" -- David Attenborough, January 1992"
Extinct And Endangered Plants Of Australia,"Rare plants,Rare plants--Australia,Endangered species","J. Leigh, R. Boden, J. Briggs ; With A Foreword By H.r.h. The Duke Of Edinburgh. Includes Indexes. Bibliography: P. 349-360."
Classic Natural History Prints Mammals,Mammals,
Abnormal Pyschology,"Psychology,Mental Health Services,Psychiatry","Psychopathology Videotape, Classroom Presentation CD-ROM, Student Study Guide, Davison and Neale Web Site, Instructor Resource Manual, Test Bank available."
Paper Airplanes: Models to Build and Fly,Juvenile Nonfiction,Presents information on aerodynamic principles and flying techniques along with instructions for making twelve different paper airplanes.
"Applied Cryptography: Protocols, Algorithms, and Source Code in C",Data Encryption,"This new edition of this cryptography classic provides readers with the most comprehensive, up-to-date survey of modern cryptographic terms and techniques along with practical advice on how to implement a wide variety of impenetrable encryptions, including powerful algorithms and source code."
Bayesian Analysis with Stata,"Bayesian statistical decision theory,Stata,Computer programs",
Birds of the Antarctic,,
"The Making Of ""The Hitchhiker's Guide To The Galaxy""","Films, Cinema","The making of the most astonishing adventure in the Universe -- 'The Hitchhiker's Guide to the Galaxy', a film event of 2005."
Kadimakara: Extinct Vertebrates of Australia,Extinct vertebrates,"According to the traditions of some Australian Aborigines, the strange monsters known as Kadimakara once lived in a roof of vegetation over Central Australia, occasionally foraging for foods in the lower world. These Aborigines believed that on one occasion, when the Kadimakara's path back to their home was cut off, they were obliged to roam on earth until they died in Lake Eyre. Their bones, the Aborigines thought, became what we know as fossils. In the richly illustrated volume Kadimakara, pioneers of the bourgeoning field of Australian fossil research provide a broad overview of vertebrate history in that country. Offering a wealth of information on how palaeontologists view their own processes of interpreting what fossil animals and plants were like when alive, the book includes an essay for each of thirty-two extinct vertebrates. The work begins with an engagingly written chapter Priest-Geologists and Knighted Explorers: A Short History of the Discovery of Vertebrate Fossils in Australia by P. V. Rich, continues with an essay The Stirton Years, 1953-1966 by R. H. Tedford, and goes on to a discussion of changing Australian environments throughout geological time by E. M. Truswell and G. E. Wilford. The essays on fossil vertebrates constitute the remaining two-thirds of the book."
The Structure and Dynamics of Networks,"Social, Group Or Collective Psychology,Applied Mathematics,Chaos Theory","From the Internet to networks of friendship, disease transmission, and even terrorism, the concept--and the reality--of networks has come to pervade modern society. But what exactly is a network? What different types of networks are there? Why are they interesting, and what can they tell us? In recent years, scientists from a range of fields--including mathematics, physics, computer science, sociology, and biology--have been pursuing these questions and building a new science of networks. This book brings together for the first time a set of seminal articles representing research from across these disciplines. It is an ideal sourcebook for the key research in this fast-growing field.



The book is organized into four sections, each preceded by an editors' introduction summarizing its contents and general theme. The first section sets the stage by discussing some of the historical antecedents of contemporary research in the area. From there the book moves to the empirical side of the science of networks before turning to the foundational modeling ideas that have been the focus of much subsequent activity. The book closes by taking the reader to the cutting edge of network science--the relationship between network structure and system dynamics. From network robustness to the spread of disease, this section offers a potpourri of topics on this rapidly expanding frontier of the new science."
"NASA Apollo 11 Manual: 1969 (including Saturn V, CM-107, SM-107, LM-5)","Teaching Resources & Education,Astrophysics,Aerospace & Aviation Technology","On July 20, 1969, US astronaut Neil Armstrong became the first man to walk on the moon. The Apollo 11 mission that carried him and his two fellow astronauts on their epic journey marked the successful culmination of a quest that, ironically, had begun in Nazi Germany thirty years before. This is the story of the Apollo 11 mission and the 'space hardware' that made it all possible. Author Chris Riley looks at the evolution and design of the mighty Saturn V rocket, the Command and Service Modules, and the Lunar Module. He also describes the space suits worn by the crew, with their special life support systems. Launch procedures are described, 'flying' the Saturn V, navigation, course correction 'burns', orbital rendezvous techniques, flying the LEM, moon landing, moon walk, take-off from the moon, and earth re-entry procedure. Includes performance data, fuels, biographies of Armstrong, Aldrin and Collins, Gene Kranz and Werner von Braun. Detailed appendices cover all of the Apollo missions, with full details of crews, spacecraft names and logos, mission priorities, moon landing sites, and the Lunar Rover."
"Genetics, Evolution and Man: Human Endvr",Genetics (non-medical),"Surveys the fundamentals of genetics, the principles and techniques of population genetics, the inheritance of complex traits, and socially relevant aspects of human genetics and evolution"
Taking Wing: Archaeopteryx And The Evolution Of Bird Flight,"Science: General Issues,Evolution,Birds (ornithology)","A few years after the publication of Charles Darwin's The Origin of the Species, the scientific world was set aflutter by an amazing discovery: a fossil skeleton exquisitely preserved, even to the impressions of individual feathers on its wings, had been found in the Bavarian region of Germany. Researchers determined that the unique coupling of its avian feathers and reptilian toothy skull offered tangible proof of the theory of evolution. Hailed as First Bird, archaeopteryx became a celebrity among fossils, and the subject of heated debates. Are birds actually living dinosaurs? Where does the fossil record actually lead? This volume is a piece of detective work, exploring how the thinking about the mysteries of flight has developed."
Castles & Knights (British History),Castles,
The Hall of a Thousand Columns,India,"Tim Mackintosh-Smith's Travels with a Tangerine introduced the modern world to Ibn Battutah, 'Prince of Travellers'. Now they take to the road together once more for the next leg of Ibn Battutah's travels -- the great subcontinent of India. Born in 1304, Ibn Battutah left his native Tangier as a young scholar of law. He returned nearly thirty years later having visited most of the known world between Morocco and China. To many contemporaries his tales were received as Munchausian fantasies -- and it was India that stretched his readers' credulity beyond the limit. Tim Mackintosh-Smith traces in situ the dizzy ladders and terrifying snakes of Ibn Battutah's Indian career -- as judge and hermit, courtier and prisoner, ambassador and castaway. Over the course of his journey he also finds a dead Muslim posing as a Hindu deity, Jesus popping up in the pulpit of a mosque, and the rotten tooth of a mad sultan being revered as a saint. Ibn Battutah left India stripped to his underpants by pirates; but he took away a treasure of tales as rich as any in the history of travel. Back home they said the treasure was a fake. What Mackintosh-Smith returns with proves the sceptics wrong: India is the jewel in the Prince of Travellers' turban."
"The Laws of Simplicity: Design, Technology, Business, Life","Art Forms,Industrial / Commercial Art & Design,Graphic Design","Ten laws of simplicity for business, technology, and design that teach us how to need less but get more.

Finally, we are learning that simplicity equals sanity. We're rebelling against technology that's too complicated, DVD players with too many menus, and software accompanied by 75-megabyte ""read me"" manuals. The iPod's clean gadgetry has made simplicity hip. But sometimes we find ourselves caught up in the simplicity paradox: we want something that's simple and easy to use, but also does all the complex things we might ever want it to do. In The Laws of Simplicity, John Maeda offers ten laws for balancing simplicity and complexity in business, technology, and design—guidelines for needing less and actually getting more.

Maeda—a professor in MIT's Media Lab and a world-renowned graphic designer—explores the question of how we can redefine the notion of ""improved"" so that it doesn't always mean something more, something added on.

Maeda's first law of simplicity is ""Reduce."" It's not necessarily beneficial to add technology features just because we can. And the features that we do have must be organized (Law 2) in a sensible hierarchy so users aren't distracted by features and functions they don't need. But simplicity is not less just for the sake of less. Skip ahead to Law 9: ""Failure: Accept the fact that some things can never be made simple."" Maeda's concise guide to simplicity in the digital age shows us how this idea can be a cornerstone of organizations and their p..."
Nightwatch,"Sci-Fi & Fantasy,Fantasy","The 27th novel in the phenomenally successful Discworld series.

Commander Sam Vimes of the Ankh-Morpork City Watch had it all. Then the lightning struck and now he’s back in his own rough, tough past without even the clothes he was standing up in. Living in the past is hard. Dying in the past, however, is incredibly easy.

But he must survive, because he has a job to do: he must track down a murderer, and teach his younger self how to be a good cop. He must also change the outcome of a bloody rebellion. There’s a problem: if he wins, he’s got no wife, no child, no future.

This is a Discworld “Tale of One City”, with a full chorus of street urchins, ladies of negotiable affection, rebels, secret policemen and other children of the revolution. Truth! Justice! Freedom! And a hard-boiled egg!"
"Soul Music (Discworld, #16)","Science Fiction,Fantasy","Other children get given xylophones. Susan just had to ask her grandfather to take his vest off. 
Yes. There's a Death in the family.

It's hard to grow up normally when Grandfather rides a white horse and wields a scythe – especially when you have to take over the family business, and everyone mistakes you for the Tooth Fairy.

And especially when you have to face the new and addictive music that has entered Discworld.

It's lawless. It changes people.

It's called Music With Rocks In.

It's got a beat and you can dance to it, but...

It's alive.

And it won't fade away."
The Fifth Elephant,"Epic Fantasy,Epic","Sam Vimes is a man on the run. Yesterday he was a duke, a chief of police and the ambassador to the mysterious, fat-rich country of Uberwald. Now he has nothing but his native wit and the gloomy trousers of Uncle Vanya (don’t ask). It’s snowing. It’s freezing. And there are monsters on his trail . . ."
Canterbury Tales And Tales Of Caunterbury,"early English,Middle Ages,Chaucer, Geoffrey, d. 1400. Canterbury tales",
Mathematical Illustrations,Mathematics,"This practical introduction to the techniques needed to produce high-quality mathematical illustrations is suitable for anyone with basic knowledge of coordinate geometry. Bill Casselman combines a completely self-contained step-by-step introduction to the graphics programming language PostScript with an analysis of the requirements of good mathematical illustrations. The many small simple graphics projects can also be used in courses in geometry, graphics, or general mathematics. Code for many of the illustrations is included, and can be downloaded from the book's web site: www.math.ubc.ca/~cass/graphics/manualMathematicians; scientists, engineers, and even graphic designers seeking help in creating technical illustrations need look no further."
"Pyramids Of Giza: Facts, Legends And Mysteries (New Horizons)",Egyptian Archaeology / Egyptology,"The Pyramids of Giza are the only one of the Seven Wonders of the World that still stands today. Defying the centuries, these gigantic tombs, built more than 4,500 years ago by three great pharaohs of the 4th Dynasty, have long been objects of wonder, speculation and mystery, but it was not until the archaeological discoveries of the 19th century that a true picture of their fascinating history began to emerge. This pocket-sized, profusely illustrated book separates fact from fiction to tell the ongoing story of the Great Pyramids."
Am introduction to infinitesimal calculus,,
The Name of the Rose,Contemporary Fiction,"Novel by Umberto Eco, published in Italian as Il nome della rosa in 1980. Although the work stands on its own as a murder mystery, it is more accurately seen as a questioning of ""truth"" from theological, philosophical, scholarly, and historical perspectives. The story centers on William of Baskerville, a 50-year-old monk who is sent to investigate a death at a Benedictine monastery. During his search, several other monks are killed in a bizarre pattern that reflects the Book of Revelation. 
—From The Merriam-Webster Encyclopedia of Literature"
Anonymizing Health Data,"Ethical & Social Aspects Of Computing,Databases,Data Capture & Analysis","With this practical book, you will learn proven methods for anonymizing health data to help your organization share meaningful datasets, without exposing patient identity. Leading experts Khaled El Emam and Luk Arbuckle walk you through a risk-based methodology, using case studies from their efforts to de-identify hundreds of datasets.

Clinical data is valuable for research and other types of analytics, but making it anonymous without compromising data quality is tricky. This book demonstrates techniques for handling different data types, based on the authors’ experiences with a maternal-child registry, inpatient discharge abstracts, health insurance claims, electronic medical record databases, and the World Trade Center disaster registry, among others.


Understand different methods for working with cross-sectional and longitudinal datasets
Assess the risk of adversaries who attempt to re-identify patients in anonymized datasets
Reduce the size and complexity of massive datasets without losing key information or jeopardizing privacy
Use methods to anonymize unstructured free-form text data
Minimize the risks inherent in geospatial data, without omitting critical location-based health information
Look at ways to anonymize coding information in health data
Learn the challenge of anonymously linking related datasets"
Rapid Development: Taming Wild Software Schedules,"Microsoft Windows,Computer Programming / Software Development,Software Engineering","A fundamental software engineering project management guide based on the practical requirements of ""Taming Wild Software Schedules"". Emphasizes possible, realistic and ""best practice"" approaches for managers, technical leads and self-managed teams. The author emphasizes efficient development concepts with an examination of rapid development strategies and a study of classic mistakes, within the context of software-development fundamentals and risk management. Dissects the core issues of rapid development, lifecycle planning, estimation and scheduling. Contains very good and practical discussions of customer-oriented development, motivation and teamwork. Explains such fundamental requirements as team structure, feature-set control (the dreaded feature creep in every project), availability and use of productivity tools and project recovery options. Relevant case studies are analyzed and discussed within the context of specific software development problems. Over 200 pages in this publication are devoted to a summary of best practices, everything from the daily build and smoke test, through prototyping, model selection, measurement, reuse, and the top-10 risks list. 

This publication is definitely recommended and will become a classic in the field, just as the author's prior publication, ""Code Complete"" already is."
Visualizing Data: Exploring and Explaining Data with the Processing Environment,"Internet Guides & Online Services,Graphical & Digital Media Applications,Computer Programming / Software Development","Enormous quantities of data go unused or underused today, simply because people can't visualize the quantities and relationships in it. Using a downloadable programming environment developed by the author, Visualizing Data demonstrates methods for representing data accurately on the Web and elsewhere, complete with user interaction, animation, and more.

How do the 3.1 billion A, C, G and T letters of the human genome compare to those of a chimp or a mouse? What do the paths that millions of visitors take through a web site look like? With Visualizing Data, you learn how to answer complex questions like these with thoroughly interactive displays. We're not talking about cookie-cutter charts and graphs. This book teaches you how to design entire interfaces around large, complex data sets with the help of a powerful new design and prototyping tool called ""Processing"".

Used by many researchers and companies to convey specific data in a clear and understandable manner, the Processing beta is available free. With this tool and Visualizing Data as a guide, you'll learn basic visualization principles, how to choose the right kind of display for your purposes, and how to provide interactive features that will bring users to your site over and over. This book teaches you:


The seven stages of visualizing data -- acquire, parse, filter, mine, represent, refine, and interact How all data problems begin with a question and end with a narrative construct that provides a clear answer ..."
"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)","Contemporary Fiction,Science Fiction,Humour","alternate covers for this ISBN can be found here and here

The story of THE HITCH-HIKER’S GUIDE TO THE GALAXY continues

""Good Evening ladies and gentlemen, I am your host for tonight, Max Quordlepleen, and I have just come straight from the other end of time where I have been hosting a show at the Big Bang Burger Bar and I will be your host for this historic occasion - the End of History itself.""

If you've done six impossible things this morning why not round it off with breakfast, lunch or dinner at Milliway's, The Restaurant at the End of the Universe...
--back cover

Cover illustration by Chris Moore"
The Pirates! in an Adventure with Scientists. Gideon Defoe,"Historical Fiction,Humour","1837: the Victorian Era approaches and the golden age of piracy draws to a close. Worried that his pirates are getting bored with a life of winking at pretty native ladies, sitting about on tropical beaches, and trying to stick enough jellyfish together to make a bouncy castle, the Pirate Captain decides it's time they had an adventure. of discovery that will one day make him famous - leads the Captain and his rag-tag crew from the exotic Galapagos Islands to the fog filled streets of Victorian London, where they encounter grisly murder, vanishing ladies, a diabolical Bishop, the Elephant Man, and have an exciting trip to the zoo."
Douglas Adams' Starship Titanic,Science Fiction,"At the centre of the galaxy, an unknown civilization is preparing for an event of epic proportions, the launch of the most technologically advanced spaceship ever built - the Starship Titanic. The ship that cannot possibly go wrong."
"Das Restaurant am Ende des Universums (Per Anhalter durch die Galaxis, #2)","Fiction,Humorous fiction,humorous stories","Wenn man am Vormittag schon sechs unwahrscheinliche Dinge erlebt und erledigt hat – warum das Ganze dann nicht mit einer Jause im Milliways, dem Restaurant am Ende des Universums, abrunden? Genau das hat die Besatzung des Sternenschiffs »Herz aus Gold« vor. Wäre da nicht der missliche Umstand, zunächst den Vogonen entkommen zu müssen, irgendwie zu vermeiden, zum übelsten Planeten der Galaxie verschleppt zu werden, und einem Raumschiff beizubringen, wie man eine anständige Tasse Tee zubereitet. Und hat überhaupt irgendwer einen Tisch reserviert?

Band 2 der fünfteiligen Trilogie."
Thief of Time,"Sci-Fi & Fantasy,Fantasy","The twenty-sixth Discworld novel from Britain’s funniest and bestselling novelist.

Time is a resource. Everyone knows it has to be managed.

And on Discworld that is the job of the Monks of History, who store it and pump it from the places where it’s wasted (like underwater – how much time does a codfish need?) to places like cities, where there’s never enough time.

But the construction of the world’s first truly accurate clock starts a race against, well, time for Lu Tze and his apprentice Lobsang Ludd. Because it will stop time. And that will only be the start of everyone’s problems.

Thief of Time comes complete with a full supporting cast of heroes and villains, yetis, martial artists and Ronnie, the fifth horseman of the Apocalypse (who left before they became famous)."
Preserving Library Materials,"Library materials -- Conservation and restoration -- Handbooks, manuals, etc.",
MapReduce Design Patterns: Building Effective Algorithms and Analytics for Hadoop and Other Systems,Computers,"Until now, design patterns for the MapReduce framework have been scattered among various research papers, blogs, and books. This handy guide brings together a unique collection of valuable MapReduce patterns that will save you time and effort regardless of the domain, language, or development framework you’re using. Each pattern is explained in context, with pitfalls and caveats clearly identified to help you avoid common design mistakes when modeling your big data architecture. This book also provides a complete overview of MapReduce that explains its origins and implementations, and why design patterns are so important. All code examples are written for Hadoop. ""A clear exposition of MapReduce programs for common data processing patterns—this book is indespensible for anyone using Hadoop.""

--Tom White, author of The Definitive Guide"
The Physics of Musical Instruments,"Music -- Acoustics and physics.,Musical instruments -- Construction.",
Towards interoperable and knowledge-based electronic health records using archetype methodology,,
Health and Health Care in Modern Britain,Medical,This volume has been developed specifically for the large number of students studying the sociology of health and health care at an introductory level. Joan Busfield examines key issues affecting healthcare in contemporary Britain. These include: concepts and measures of health and illness; patterns of health and illness; changing health care provisions; explanations of health care systems; and a concluding analysis of current problems and prospects.
Statistical Methods in Environmental Epidemiology,Mathematics,"Environmental epidemiology is the study of the environmental causes of disease in populations and how these risks vary in relation to intensity and duration of exposure and other factors like genetic susceptibility. As such, it is the basic science upon which governmental safety standards and compensation policies for environmental and occupational exposure are based. Profusely illustrated with examples from the epidemiologic literature on ionizing radiation and air `ollution, this text provides a systematic treatment of the statistical challenges that arise in environmental health studies and the use of epidemiologic data in formulating public policy, at a level suitable for graduate students and epidemiologic researchers.

After a general overview of study design and statistical methods for epidemiology generally, the book goes on to address the problems that are unique to environmental health studies, special-purpose designs like two-phase case-control studies and countermatching, statistical methods for modeling exposure-time-response relationships, longitudinal and time-series studies, spatial and ecologic methods, exposure measurement error, interactions, and mechanistic models. It also discusses studies aimed at evaluating the public health benefits of interventions to improve the environment, the use of epidemiologic data to establish environmental safety standards and compensation policy, and concludes with emerging problems in reproductive epidemiology, natural a..."
Origami Paper Airplanes,"Origami & Paper Engineering,Handicrafts","Origami is an ancient art, yet modern paper folders can still invent fascinating new folds. Origami Paper Airplanes is filled with new and outstanding folds that will delight, amuse, and inspire paper folders of all ages. They offer a wide variety of designs that are rated according to skill level. Everyone, from beginners to experienced folders, will find something here to delight the hand and eye.

Each book opens with four pages of instructions in basic folding techniques, the symbols used in the book and a discussion of the various papers you work with. Then come the specific folds - Origami Paper Airplanes offers 28 different designs of aircraft that include traditional planes, new creations, and other flying objects such as windmills and frisbees. Extremely detailed technical drawings, in color, accompany the reader every step of the way from the very first crease through to the remarkable finished creation.

With their elegant and fascinating folds, these are among the most innovative origami books available. They are suited for folders of all ages and skill levels. Thoroughly tested and carefully designed instructions make it possible for anyone to achieve results on the first try."
Born Free,"Science,Wildlife,Africa World History","There have been many accounts of the return to the wild of tame animals, but since its original publication in 1960, when The New York Times hailed it as a “fascinating and remarkable book,” Born Free has stood alone in its power to move us.

Joy Adamson's story of a lion cub in transition between the captivity in which she is raised and the fearsome wild to which she is returned captures the abilities of both humans and animals to cross the seemingly unbridgeable gap between their radically different worlds. Especially now, at a time when the sanctity of the wild and its inhabitants is increasingly threatened by human development and natural disaster, Adamson's remarkable tale is an idyll, and a model, to return to again and again.

Illustrated with the same beautiful, evocative photographs that first enchanted the world forty years ago and updated with a new introduction by George Page, former host and executive editor of the PBS series Nature and author of Inside the Animal Mind, this anniversary edition introduces to a new generation one of the most heartwarming associations between man and animal."
Model Theory (Oxford Logic Guides),Computers,"Model theory, which is concerned with the relationship between mathematical structures and logic, now has a wide range of applications in areas such as computing, philosophy, and linguistics. This book, suitable for both mathematicians and students from outside the field, provides a clear and readable introduction to the subject."
Early Prediction and Prevention of Child Abuse,"Child abuse -- Prevention,Abused children -- Services for",
Regional Climates of the British Isles (Studies in Epistemology and Cognitive),Nature,A comprehensive and up-to-date survey of the diverse climate of the British isles is presented here. Leading climatologists examine eleven regions: climatic distinctiveness and local weather contrasts are described and data supplied.
"Sourcery (Discworld, #5)",Fantasy,"When last seen, the singularly inept wizard Rincewind had fallen off the edge of the world. Now magically, he's turned up again, and this time he's brought the Luggage.

But that's not all....

Once upon a time, there was an eighth son of an eighth son who was, of course, a wizard. As if that wasn't complicated enough, said wizard then had seven sons. And then he had an eighth son -- a wizard squared (that's all the math, really). Who of course, was a source of magic -- a sourcerer."
"Interesting Times (Discworld, #17)","Contemporary Fiction,Science Fiction,Fantasy","A novel in the humorous fantasy Discworld series. The oldest and most inscrutable empire on the Discworld is in turmoil caused by the revolutionary treatise, What I Did on My Holidays. Workers are uniting, with nothing to lose but their water buffaloes, and warlords are struggling for power."
"Pyramids (Discworld, #7)",Fantasy,"It's bad enough being new on the job, but Teppic hasn't a clue as to what a pharaoh is supposed to do. After all, he's been trained at Ankh-Morpork's famed assassins' school, across the sea from the Kingdom of the Sun. First, there's the monumental task of building a suitable resting place for Dad -- a pyramid to end all pyramids. Then there are the myriad administrative duties, such as dealing with mad priests, sacred crocodiles, and marching mummies. And to top it all off, the adolescent pharaoh discovers deceit, betrayal - not to mention a headstrong handmaiden - at the heart of his realm."
Libraries,Photographs: Collections,"Nobody photographs libraries, those splendid and intimate cathedrals of knowledge, as beautifully as Candida Höfer. Her photographs are sober and restrained in feel - the atmosphere is disturbed by neither visitors nor users, especially as she forgoes any staging of the locations. The emptiness is imbued with substance by a subtle attention to colour, and the prevailing silence instilled with a metaphysical quality that gives voice to the objects, over and above the eloquence of the furnishings or the pathos of the architecture.
This somptuous volume contains Höfer’s famously ascetic images of the British Library in London, the Escorial in Spain, the Whitney Museum and the Pierpont Morgan Library in New York, the Bibliothèque nationale de France in Paris, he Villa Medici in Rome and the Hamburg University Library, among others. Umberto Eco introduces the collection with a witty reflection on the role of libraries in all our lives.
Almost completely devoid of people, as is Höfer’s trademark, these pictures radiate a comforting serenity that is exceptional in contemporary photography.
Preface : 
Umberto Eco 'De Bibliotheca’ translated from Italian by Alastair McEwen
Lecture to mark the 25th anniversary of the Biblioteca Comunale in Milan at Palazzo Sormani on 10 March 1981"
Anatomy for the Artist : They Dynamics of Human Form,"Anatomy,Artistic",
Envisioning Information,Industrial / Commercial Art & Design,"The celebrated design professor here tackles the question of how best to communicate real-life experience in a two-degree format, whether on the printed page or the computer screen. The Whole Earth Review called Envisioning Information a ""passionate, elegant revelation."""
"Large Hadron Collider Owners' Workshop Manual: 2008 onwards - An insight into the engineering, operation and discoveries made by the world's most powerful particle accelerator","Atomic & Molecular Physics,Quantum Physics (quantum Mechanics & Quantum Field Theory)","What is the universe made of? How did it start? This Manual tells the story of how physicists are seeking answers to these questions using the world’s largest particle smasher – the Large Hadron Collider – at the CERN laboratory on the Franco-Swiss border. Beginning with the first tentative steps taken to build the machine, the digestible text, supported by color photographs of the hardware involved, along with annotated schematic diagrams of the physics experiments, covers the particle accelerator’s greatest discoveries – from both the perspective of the writer and the scientists who work there. TheLarge Hadron Collider Owners' Workshop Manual is a full, comprehensive guide to the most famous, record-breaking physics experiment in the world, which continues to capture the public imagination as it provides new insight into the fundamental laws of nature."
Thailand's vanishing flora and fauna,Subjects,
Wildlife Photographer of the Year: Portfolio 27,"Photographs: Collections,Photographic Reportage,Wildlife: General Interest","For more than 50 years, the Wildlife Photographer of the Year competition has championed honest and ethical wildlife photography, while pushing the boundaries of artistic freedom, technical skill, and narrative excellence. This powerful collection of pictures features all the winning photographs from the 2016 competition. The collection represents the work of many international photographers, both professionals and amateurs. The photographs are chosen by an international jury for their artistic merit and originality, from categories that together represent a diversity of natural subjects. The range of styles is also diverse, as is the genre of photography, including action, macro, underwater, landscape, or environmental reportage. Together this outstanding collection is a reminder of the splendor, drama, and variety of life on Earth. Each stunning photograph is accompanied by an extended caption and there is an introduction by one of the world's most respected nature photographers."
